vowel,F1,F2
i,363.931049,3000.002731
a,835,1491.9164
ɑ,819.961629,1132.451481
u,330.019279,874.222485
bead,302.583659,3044.861926
bid,470.960406,2332.016987
paid,399.089242,2468.809774
bed,750.787458,2071.362354
bad,912.478137,2009.93215
pod,898.970815,1320.985485
pawed,751.270443,969.316729
bud,806.580552,806.580552
bode,492.079931,1158.888166
book,527.935886,1132.479685
booed,270.775521,1204.666699
bird,388.551851,1450.927932
ə,429.5467462,1604.511498
